"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",848,258,1133,908,1133,848,1132,316,258,902,1259,908,893,901,258,50,524,1285
"2",258,1181,736,3046,2790,50,1173,848,1082,911,1202,888,902,1180,2503,2694,741,1184
"3",1181,1179,3046,1,1180,1204,2791,524,2729,1233,1197,1269,1233,1228,1179,590,901,1247
"4",1960,1180,1,1082,736,294,244,1951,1059,3367,1367,903,1576,958,741,893,1960,3603
"5",2503,908,712,2693,1121,605,1341,901,2804,1248,1239,2232,1195,2624,538,2503,1179,2962
"6",1179,1187,1206,34,2256,1196,553,1177,245,538,2648,1879,892,888,1197,897,1231,1264
"7",1180,1243,3361,3683,1216,1216,3009,590,2900,1265,1929,1203,1265,2328,1221,736,1187,2969
"8",1204,958,2693,2287,2736,1576,3611,1190,2070,2118,2596,934,913,1157,1183,605,1243,587
"9",109,1272,2932,1263,3046,3367,360,897,1007,1576,1314,1023,1250,887,586,1233,109,2883
"10",1951,1240,732,1016,1259,899,3270,1960,2072,919,2580,1263,3662,1212,1193,1576,1215,3440
"11",1215,1193,1263,592,899,2624,2262,1204,3411,1241,3431,1016,791,353,913,1248,1191,596
"12",1197,1235,3683,1059,1285,1074,1996,912,2019,3615,1198,592,939,919,1251,1202,958,3297
"13",1285,1268,592,361,1257,1877,161,2790,1899,1229,2092,1053,931,1288,1189,1197,1280,3399
"14",1221,587,2287,3328,1,47,1096,1231,2093,2135,2220,361,900,1193,1082,892,1253,550
"15",958,1354,1255,591,3828,1229,2609,1179,2106,931,1242,2497,1882,291,3403,1221,1223,3613
"16",2624,2932,361,585,2328,291,750,2256,3085,2658,1328,2795,1071,903,1182,1195,1163,1192
"17",1183,1059,1011,2012,2929,1885,578,294,2125,1998,1302,3477,3733,3239,32,1338,1207,2853
"18",1272,2803,591,2010,1269,1241,599,1196,3398,3266,1926,591,2140,905,1234,110,1183,3802
"19",454,29,2010,2013,1157,1069,2939,605,3851,3237,957,2235,2618,1225,1354,1183,1237,706
"20",3510,1284,2012,2069,1206,2126,115,1215,1937,3224,1914,2012,1583,917,1062,1024,1275,2333
